Title,URL,Assignees,Status,Sub-issues progress,Iteration,Estimate,Start date,Target date
Figuring out how Github projects work,https://github.com/Dabbin159/Cab302-Stockle/issues/2,Dabbin159,Pre User stories,,Checkpoint 1 wk 5,,,
Organize user stories,https://github.com/Dabbin159/Cab302-Stockle/issues/7,"cstrange, Dabbin159, JJTSmasher, jxn-1, samlcamp, Xicby",Pre User stories,,Checkpoint 2 wk7,,,
Assign Roles to People,https://github.com/Dabbin159/Cab302-Stockle/issues/4,,Pre User stories,,Checkpoint 1 wk 5,,,
Create low/medium Fidelity prototypes,https://github.com/Dabbin159/Cab302-Stockle/issues/11,"cstrange, jxn-1, samlcamp, Xicby",Pre User stories,,Checkpoint 2 wk7,,,
Project Scope and Outline,https://github.com/Dabbin159/Cab302-Stockle/issues/3,"jxn-1, Xicby",Pre User stories,,Checkpoint 1 wk 5,,,
User Stories,https://github.com/Dabbin159/Cab302-Stockle/issues/5,"cstrange, Dabbin159, JJTSmasher, jxn-1, samlcamp, Xicby",Pre User stories,,Checkpoint 1 wk 5,,,
Low Poly Design,https://github.com/Dabbin159/Cab302-Stockle/issues/6,"JJTSmasher, samlcamp",Pre User stories,,Checkpoint 1 wk 5,,,
Class Structure Mock up Design,https://github.com/Dabbin159/Cab302-Stockle/issues/9,samlcamp,Pre User stories,,,,,
As a developer I want a well organised classes so that i can easily implement OOP practices and enjoy benefits of OOP.,https://github.com/Dabbin159/Cab302-Stockle/issues/10,samlcamp,Must have,,wk 8 - preparing for prelim,2,,
As a user i want to be able to search for specific stocks so that i can invest in these specific stocks,https://github.com/Dabbin159/Cab302-Stockle/issues/12,jxn-1,Must have,,wk 9 Checkpoint 3 & prelim,2,,
"As a user, I want to be able to invest fake paper money into stocks so that I can keep track of how my investments have gone.",https://github.com/Dabbin159/Cab302-Stockle/issues/13,Xicby,Must have,,wk 9 Checkpoint 3 & prelim,5,,
"As a user, I want to create an account so that I can save my progress.",https://github.com/Dabbin159/Cab302-Stockle/issues/14,samlcamp,Must have,1 / 1 (100%),wk 8 - preparing for prelim,6,,
As a user the stocks i want to invest in should be based on real stocks so that I can see if my investments were succesful or i should readjust. ,https://github.com/Dabbin159/Cab302-Stockle/issues/30,"cstrange, Dabbin159, JJTSmasher, jxn-1, samlcamp, Xicby",Must have,,wk 8 - preparing for prelim,6,,
As a user i want to be able to paper trade real stocks which update in real time so that i can have a more accurate paper trading plaform.,https://github.com/Dabbin159/Cab302-Stockle/issues/32,"JJTSmasher, jxn-1",Must have,,wk 9 Checkpoint 3 & prelim,8,,
"As a user, I want to see the history of the market for specific stocks so that I can see and analyse trends to better learn their patterns and adjust my investment strategy",https://github.com/Dabbin159/Cab302-Stockle/issues/33,"JJTSmasher, jxn-1",Must have,,wk 9 Checkpoint 3 & prelim,9,,
As a developer I want a basic LLM AI implementation and class so that i can easily integrate it into the application.,https://github.com/Dabbin159/Cab302-Stockle/issues/46,cstrange,Must have,,wk 8 - preparing for prelim,6,,
As a developer I want to have a basic set of class and functionallity of the API so that i can easily develop other features which use this API,https://github.com/Dabbin159/Cab302-Stockle/issues/45,JJTSmasher,Must have,,wk 8 - preparing for prelim,5,,
As a developer i want basic functionallity of the database so that i can easily develop features in the future.,https://github.com/Dabbin159/Cab302-Stockle/issues/48,Xicby,Must have,,wk 8 - preparing for prelim,7,,
As a developer i want a basic UI functionallity so that i can easily implement future features.,https://github.com/Dabbin159/Cab302-Stockle/issues/49,jxn-1,Must have,,wk 8 - preparing for prelim,7,,
As a user I want to be able to interface with a LLM AI within the application so that i can discuss my investment strategies with it.,https://github.com/Dabbin159/Cab302-Stockle/issues/52,cstrange,Must have,,wk 9 Checkpoint 3 & prelim,8,,
As a developer i want a well structured project managment tool with sprints and quality user stories So that i can easily implement agile coding practices,https://github.com/Dabbin159/Cab302-Stockle/issues/50,Dabbin159,Must have,,wk 8 - preparing for prelim,3,,
As a developer i want basic functionallity of core features so that i can revise and improve them in later sprints,https://github.com/Dabbin159/Cab302-Stockle/issues/53,"cstrange, Dabbin159, JJTSmasher, jxn-1, samlcamp, Xicby",Must have,1 / 1 (100%),wk 8 - preparing for prelim,15,,
As a user i want to be able to see my total portfolio value so that i can see an overview of how i am going with my investments.,https://github.com/Dabbin159/Cab302-Stockle/issues/68,"cstrange, Xicby",Must have,,wk 9 Checkpoint 3 & prelim,3,,
As a user i want to be able to log into my account at a later date so that I can view how my investments have gone over time.,https://github.com/Dabbin159/Cab302-Stockle/issues/51,"samlcamp, Xicby",Should Have,,wk 8 - preparing for prelim,3,,
"As a user, I want to see stocks that have been recently viewed by me, so that i can come back to them later.",https://github.com/Dabbin159/Cab302-Stockle/issues/22,,Should Have,,,4,,
As a user i want to be able to hover over elements and see tool tips so that i can more easily understand what each thing is.,https://github.com/Dabbin159/Cab302-Stockle/issues/109,Dabbin159,Should Have,,wk 13 Final Submission,3,,
"As a user, I want to be able to favourite certain stocks, so I can quickly track and trade with them.",https://github.com/Dabbin159/Cab302-Stockle/issues/18,"jxn-1, samlcamp, Xicby",Should Have,,wk 13 Final Submission,4,,
As a user i want to compare two or more stocks side by side so that I can make better informed trading decisions,https://github.com/Dabbin159/Cab302-Stockle/issues/38,,Should Have,,,7,,
As a user I want to be able to edit my account information so that I can update my information if needed.,https://github.com/Dabbin159/Cab302-Stockle/issues/20,samlcamp,Should Have,,wk 12,4,,
As a user I would like to be able to look at candlestick data so I can understand the stock more before purchasing,https://github.com/Dabbin159/Cab302-Stockle/issues/83,JJTSmasher,Should Have,,wk 10 Checkpoint 4,7,,
As a user i want to see a leaderboard of people's gains so that i can compare myself and aim to be the best,https://github.com/Dabbin159/Cab302-Stockle/issues/86,,Should Have,,,8,,
"As a user, I want to see whether the stock market is open or closed at the time of trading, so that I know if the market will be still active or if it is closed.",https://github.com/Dabbin159/Cab302-Stockle/issues/87,cstrange,Should Have,,wk 11 - The final stretch,2,,
As a user i want to more easily find the compare stocks button so that i know that it exists and can access it easier,https://github.com/Dabbin159/Cab302-Stockle/issues/110,,Should Have,,wk 12,3,,
"As a user, I want to view news related to stock markets so that I can better predict changes to stock prices.",https://github.com/Dabbin159/Cab302-Stockle/issues/29,"JJTSmasher, jxn-1",Should Have,,wk 10 Checkpoint 4,20,,
As a user i want to be able to change the timeframe over which i view stock price history so that i can get a better understanding of how it has performed over time,https://github.com/Dabbin159/Cab302-Stockle/issues/127,,Should Have,,wk 12,5,,
As a colour blind user i want to be able to change the colour of the candlestick graph and other coloured sections so that i can more easily see it,https://github.com/Dabbin159/Cab302-Stockle/issues/125,,Should Have,,,4,,
As a user i want to be able to see the total uninvested funds on the trading page so i can easily know how much i can invest and what is avaliable,https://github.com/Dabbin159/Cab302-Stockle/issues/135,,Should Have,,,2,,
As a user i want the AI to be able to see what previous trades i have made so that it can give more accurate feedback to my trading,https://github.com/Dabbin159/Cab302-Stockle/issues/136,,Should Have,,,6,,
"As a new user, I want to have an initial Onboarding tutorial so that I can understand how the application works",https://github.com/Dabbin159/Cab302-Stockle/issues/34,,Could Have,,,7,,
"As a user, I want to be able to change app layout or text size so that I can see text better for my poor eyesight.",https://github.com/Dabbin159/Cab302-Stockle/issues/37,,Could Have,,,4,,
As a user i want to have a day trading game where i can play on a single stock over the day to see how I performed so that I can challenge myself and test my performance.,https://github.com/Dabbin159/Cab302-Stockle/issues/23,,Could Have,,,13,,
"As a user, I want to filter stocks by stock price, name, volatility, sector or name so that I can use this information to better organise my choices in investing.",https://github.com/Dabbin159/Cab302-Stockle/issues/21,,Could Have,,,3,,
"As a user, I want to see a summary of my trades after I finish a trading session, so that I can see what my current trading habits are.",https://github.com/Dabbin159/Cab302-Stockle/issues/24,,Could Have,,,6,,
"As a user, I want to be able to change from light to dark mode, So that it can suit my preferences and working environment",https://github.com/Dabbin159/Cab302-Stockle/issues/39,"cstrange, jxn-1",Could Have,,wk 11 - The final stretch,4,,
As a user I want to be able to trade crypto alongside stocks so that I can understand their differences and try trading with crypto.,https://github.com/Dabbin159/Cab302-Stockle/issues/41,,Could Have,,,12,,
"As a user, I want to be able to speak with other users on forums so that I can gather feedback with other users on strategies and plans for stocks.",https://github.com/Dabbin159/Cab302-Stockle/issues/42,,Could Have,,,18,,
As a user i want to see how my investments would peform with dividends so that i get a more accurate representation of real stock investments,https://github.com/Dabbin159/Cab302-Stockle/issues/81,,Could Have,,,25,,
"As a user, I want to see the difference in timezone from ET (Eastern Time) to my time where I live so that I know the time difference and what time it is in the US for the market.",https://github.com/Dabbin159/Cab302-Stockle/issues/85,,Could Have,,,3,,
As a user I don't want the Candle chart breaking on sunday/satuday due to market being closed for a long time,https://github.com/Dabbin159/Cab302-Stockle/issues/113,JJTSmasher,Could Have,,,,,
As a user i want news articles to open a new webpage instead of copying the link so that i can more quickly access the article,https://github.com/Dabbin159/Cab302-Stockle/issues/133,,Could Have,,,5,,
As a user i want the new article to show stocks which i currently own first so that i can more quickly see what has happened with my investments,https://github.com/Dabbin159/Cab302-Stockle/issues/134,,Could Have,,,3,,
As a user I want there to be a way to use more colour-blind friendly options.,https://github.com/Dabbin159/Cab302-Stockle/issues/139,JJTSmasher,Could Have,,,,,
"As a user, I want to protect my paper trading account with 2FA, so that I can ensure my account is secure and no one can sabotage my trades.",https://github.com/Dabbin159/Cab302-Stockle/issues/26,,Won't have,,,12,,
"As a user, I want to be aware of how tax will work in real life when selling or trading stocks so that when I trade in real life, so that I am fully aware of how much I can get in earnings and how much much needs to be taxed.",https://github.com/Dabbin159/Cab302-Stockle/issues/27,,Won't have,,,10,,
"As a user, I want to receive notifications for major market events (email, sms, etc) so that I do not miss out on major updates to stock prices and act on strategies.",https://github.com/Dabbin159/Cab302-Stockle/issues/28,,Won't have,,,11,,
"As a user, I want to be able to export analytics and trading statistics so that I can analyse it externally.",https://github.com/Dabbin159/Cab302-Stockle/issues/43,,Won't have,,,8,,
"As a user, I want to be able to trade stocks with real money, so that I can start earning through the application",https://github.com/Dabbin159/Cab302-Stockle/issues/44,,Won't have,,,1000,,
As a user i want the news pages to be opened on the application so that i do not have to use another application to see the full information,https://github.com/Dabbin159/Cab302-Stockle/issues/132,,Won't have,,,10,,
As a user i want to be able to collapse the side bar so that i can see a larger view of what each page contains,https://github.com/Dabbin159/Cab302-Stockle/issues/137,,Won't have,,,15,,
Unable to access AI page while on news page,https://github.com/Dabbin159/Cab302-Stockle/issues/111,jxn-1,Bugs/ Issues,,,,,
Logging in is inconsistent when switching between sign up and log in,https://github.com/Dabbin159/Cab302-Stockle/issues/112,samlcamp,Bugs/ Issues,,,,,
When searching stocks to buy lists most close item at bottom of list need to reverse this order,https://github.com/Dabbin159/Cab302-Stockle/issues/114,"JJTSmasher, jxn-1",Bugs/ Issues,,,,,
threading stopping candles from displaying,https://github.com/Dabbin159/Cab302-Stockle/issues/118,JJTSmasher,Bugs/ Issues,,,,,
Total Portfolio Value is not correct,https://github.com/Dabbin159/Cab302-Stockle/issues/102,Dabbin159,Bugs/ Issues,,,,,
